ID,Species,Island,Sex
1,Adelie Penguin,Torgersen,MALE
2,Adelie Penguin,Torgersen,FEMALE
3,Adelie Penguin,Torgersen,FEMALE
4,Adelie Penguin,Torgersen,
5,Adelie Penguin,Torgersen,FEMALE
6,Adelie Penguin,Torgersen,MALE
7,Adelie Penguin,Torgersen,FEMALE
8,Adelie Penguin,Torgersen,MALE
9,Adelie Penguin,Torgersen,
10,Adelie Penguin,Torgersen,
11,Adelie Penguin,Torgersen,
12,Adelie Penguin,Torgersen,
13,Adelie Penguin,Torgersen,FEMALE
14,Adelie Penguin,Torgersen,MALE
15,Adelie Penguin,Torgersen,MALE
16,Adelie Penguin,Torgersen,FEMALE
17,Adelie Penguin,Torgersen,FEMALE
18,Adelie Penguin,Torgersen,MALE
19,Adelie Penguin,Torgersen,FEMALE
20,Adelie Penguin,Torgersen,MALE
21,Adelie Penguin,Biscoe,FEMALE
22,Adelie Penguin,Biscoe,MALE
23,Adelie Penguin,Biscoe,FEMALE
24,Adelie Penguin,Biscoe,MALE
25,Adelie Penguin,Biscoe,MALE
26,Adelie Penguin,Biscoe,FEMALE
27,Adelie Penguin,Biscoe,MALE
28,Adelie Penguin,Biscoe,FEMALE
29,Adelie Penguin,Biscoe,FEMALE
30,Adelie Penguin,Biscoe,MALE
31,Adelie Penguin,Dream,FEMALE
32,Adelie Penguin,Dream,MALE
33,Adelie Penguin,Dream,FEMALE
34,Adelie Penguin,Dream,MALE
35,Adelie Penguin,Dream,FEMALE
36,Adelie Penguin,Dream,MALE
37,Adelie Penguin,Dream,MALE
38,Adelie Penguin,Dream,FEMALE
39,Adelie Penguin,Dream,FEMALE
40,Adelie Penguin,Dream,MALE
41,Adelie Penguin,Dream,FEMALE
42,Adelie Penguin,Dream,MALE
43,Adelie Penguin,Dream,FEMALE
44,Adelie Penguin,Dream,MALE
45,Adelie Penguin,Dream,FEMALE
46,Adelie Penguin,Dream,MALE
47,Adelie Penguin,Dream,MALE
48,Adelie Penguin,Dream,
49,Adelie Penguin,Dream,FEMALE
50,Adelie Penguin,Dream,MALE
51,Adelie Penguin,Biscoe,FEMALE
52,Adelie Penguin,Biscoe,MALE
53,Adelie Penguin,Biscoe,FEMALE
54,Adelie Penguin,Biscoe,MALE
55,Adelie Penguin,Biscoe,FEMALE
56,Adelie Penguin,Biscoe,MALE
57,Adelie Penguin,Biscoe,FEMALE
58,Adelie Penguin,Biscoe,MALE
59,Adelie Penguin,Biscoe,FEMALE
60,Adelie Penguin,Biscoe,MALE
61,Adelie Penguin,Biscoe,FEMALE
62,Adelie Penguin,Biscoe,MALE
63,Adelie Penguin,Biscoe,FEMALE
64,Adelie Penguin,Biscoe,MALE
65,Adelie Penguin,Biscoe,FEMALE
66,Adelie Penguin,Biscoe,MALE
67,Adelie Penguin,Biscoe,FEMALE
68,Adelie Penguin,Biscoe,MALE
69,Adelie Penguin,Torgersen,FEMALE
70,Adelie Penguin,Torgersen,MALE
71,Adelie Penguin,Torgersen,FEMALE
72,Adelie Penguin,Torgersen,MALE
73,Adelie Penguin,Torgersen,FEMALE
74,Adelie Penguin,Torgersen,MALE
75,Adelie Penguin,Torgersen,FEMALE
76,Adelie Penguin,Torgersen,MALE
77,Adelie Penguin,Torgersen,FEMALE
78,Adelie Penguin,Torgersen,MALE
79,Adelie Penguin,Torgersen,FEMALE
80,Adelie Penguin,Torgersen,MALE
81,Adelie Penguin,Torgersen,FEMALE
82,Adelie Penguin,Torgersen,MALE
83,Adelie Penguin,Torgersen,FEMALE
84,Adelie Penguin,Torgersen,MALE
85,Adelie Penguin,Dream,FEMALE
86,Adelie Penguin,Dream,MALE
87,Adelie Penguin,Dream,MALE
88,Adelie Penguin,Dream,FEMALE
89,Adelie Penguin,Dream,MALE
90,Adelie Penguin,Dream,FEMALE
91,Adelie Penguin,Dream,FEMALE
92,Adelie Penguin,Dream,MALE
93,Adelie Penguin,Dream,FEMALE
94,Adelie Penguin,Dream,MALE
95,Adelie Penguin,Dream,FEMALE
96,Adelie Penguin,Dream,MALE
97,Adelie Penguin,Dream,FEMALE
98,Adelie Penguin,Dream,MALE
99,Adelie Penguin,Dream,FEMALE
100,Adelie Penguin,Dream,MALE
101,Adelie Penguin,Biscoe,FEMALE
102,Adelie Penguin,Biscoe,MALE
103,Adelie Penguin,Biscoe,FEMALE
104,Adelie Penguin,Biscoe,MALE
105,Adelie Penguin,Biscoe,FEMALE
106,Adelie Penguin,Biscoe,MALE
107,Adelie Penguin,Biscoe,FEMALE
108,Adelie Penguin,Biscoe,MALE
109,Adelie Penguin,Biscoe,FEMALE
110,Adelie Penguin,Biscoe,MALE
111,Adelie Penguin,Biscoe,FEMALE
112,Adelie Penguin,Biscoe,MALE
113,Adelie Penguin,Biscoe,FEMALE
114,Adelie Penguin,Biscoe,MALE
115,Adelie Penguin,Biscoe,FEMALE
116,Adelie Penguin,Biscoe,MALE
117,Adelie Penguin,Torgersen,FEMALE
118,Adelie Penguin,Torgersen,MALE
119,Adelie Penguin,Torgersen,FEMALE
120,Adelie Penguin,Torgersen,MALE
121,Adelie Penguin,Torgersen,FEMALE
122,Adelie Penguin,Torgersen,MALE
123,Adelie Penguin,Torgersen,FEMALE
124,Adelie Penguin,Torgersen,MALE
125,Adelie Penguin,Torgersen,FEMALE
126,Adelie Penguin,Torgersen,MALE
127,Adelie Penguin,Torgersen,FEMALE
128,Adelie Penguin,Torgersen,MALE
129,Adelie Penguin,Torgersen,FEMALE
130,Adelie Penguin,Torgersen,MALE
131,Adelie Penguin,Torgersen,FEMALE
132,Adelie Penguin,Torgersen,MALE
133,Adelie Penguin,Dream,FEMALE
134,Adelie Penguin,Dream,MALE
135,Adelie Penguin,Dream,FEMALE
136,Adelie Penguin,Dream,MALE
137,Adelie Penguin,Dream,FEMALE
138,Adelie Penguin,Dream,MALE
139,Adelie Penguin,Dream,FEMALE
140,Adelie Penguin,Dream,MALE
141,Adelie Penguin,Dream,FEMALE
142,Adelie Penguin,Dream,MALE
143,Adelie Penguin,Dream,FEMALE
144,Adelie Penguin,Dream,MALE
145,Adelie Penguin,Dream,FEMALE
146,Adelie Penguin,Dream,MALE
147,Adelie Penguin,Dream,MALE
148,Adelie Penguin,Dream,FEMALE
149,Adelie Penguin,Dream,FEMALE
150,Adelie Penguin,Dream,MALE
151,Adelie Penguin,Dream,FEMALE
152,Adelie Penguin,Dream,MALE
153,Chinstrap Penguin,Dream,FEMALE
154,Chinstrap Penguin,Dream,MALE
155,Chinstrap Penguin,Dream,MALE
156,Chinstrap Penguin,Dream,FEMALE
157,Chinstrap Penguin,Dream,MALE
158,Chinstrap Penguin,Dream,FEMALE
159,Chinstrap Penguin,Dream,FEMALE
160,Chinstrap Penguin,Dream,MALE
161,Chinstrap Penguin,Dream,FEMALE
162,Chinstrap Penguin,Dream,MALE
163,Chinstrap Penguin,Dream,FEMALE
164,Chinstrap Penguin,Dream,MALE
165,Chinstrap Penguin,Dream,FEMALE
166,Chinstrap Penguin,Dream,MALE
167,Chinstrap Penguin,Dream,FEMALE
168,Chinstrap Penguin,Dream,MALE
169,Chinstrap Penguin,Dream,MALE
170,Chinstrap Penguin,Dream,FEMALE
171,Chinstrap Penguin,Dream,FEMALE
172,Chinstrap Penguin,Dream,MALE
173,Chinstrap Penguin,Dream,FEMALE
174,Chinstrap Penguin,Dream,MALE
175,Chinstrap Penguin,Dream,FEMALE
176,Chinstrap Penguin,Dream,MALE
177,Chinstrap Penguin,Dream,FEMALE
178,Chinstrap Penguin,Dream,MALE
179,Chinstrap Penguin,Dream,FEMALE
180,Chinstrap Penguin,Dream,MALE
181,Chinstrap Penguin,Dream,FEMALE
182,Chinstrap Penguin,Dream,MALE
183,Chinstrap Penguin,Dream,FEMALE
184,Chinstrap Penguin,Dream,MALE
185,Chinstrap Penguin,Dream,FEMALE
186,Chinstrap Penguin,Dream,MALE
187,Chinstrap Penguin,Dream,MALE
188,Chinstrap Penguin,Dream,FEMALE
189,Chinstrap Penguin,Dream,FEMALE
190,Chinstrap Penguin,Dream,MALE
191,Chinstrap Penguin,Dream,FEMALE
192,Chinstrap Penguin,Dream,MALE
193,Chinstrap Penguin,Dream,MALE
194,Chinstrap Penguin,Dream,FEMALE
195,Chinstrap Penguin,Dream,MALE
196,Chinstrap Penguin,Dream,FEMALE
197,Chinstrap Penguin,Dream,FEMALE
198,Chinstrap Penguin,Dream,MALE
199,Chinstrap Penguin,Dream,FEMALE
200,Chinstrap Penguin,Dream,MALE
201,Chinstrap Penguin,Dream,MALE
202,Chinstrap Penguin,Dream,FEMALE
203,Chinstrap Penguin,Dream,FEMALE
204,Chinstrap Penguin,Dream,MALE
205,Chinstrap Penguin,Dream,FEMALE
206,Chinstrap Penguin,Dream,MALE
207,Chinstrap Penguin,Dream,FEMALE
208,Chinstrap Penguin,Dream,MALE
209,Chinstrap Penguin,Dream,FEMALE
210,Chinstrap Penguin,Dream,MALE
211,Chinstrap Penguin,Dream,MALE
212,Chinstrap Penguin,Dream,FEMALE
213,Chinstrap Penguin,Dream,MALE
214,Chinstrap Penguin,Dream,FEMALE
215,Chinstrap Penguin,Dream,FEMALE
216,Chinstrap Penguin,Dream,MALE
217,Chinstrap Penguin,Dream,FEMALE
218,Chinstrap Penguin,Dream,MALE
219,Chinstrap Penguin,Dream,MALE
220,Chinstrap Penguin,Dream,FEMALE
221,Gentoo Penguin,Biscoe,FEMALE
222,Gentoo Penguin,Biscoe,MALE
223,Gentoo Penguin,Biscoe,FEMALE
224,Gentoo Penguin,Biscoe,MALE
225,Gentoo Penguin,Biscoe,MALE
226,Gentoo Penguin,Biscoe,FEMALE
227,Gentoo Penguin,Biscoe,FEMALE
228,Gentoo Penguin,Biscoe,MALE
229,Gentoo Penguin,Biscoe,FEMALE
230,Gentoo Penguin,Biscoe,MALE
231,Gentoo Penguin,Biscoe,FEMALE
232,Gentoo Penguin,Biscoe,MALE
233,Gentoo Penguin,Biscoe,FEMALE
234,Gentoo Penguin,Biscoe,MALE
235,Gentoo Penguin,Biscoe,FEMALE
236,Gentoo Penguin,Biscoe,MALE
237,Gentoo Penguin,Biscoe,FEMALE
238,Gentoo Penguin,Biscoe,MALE
239,Gentoo Penguin,Biscoe,FEMALE
240,Gentoo Penguin,Biscoe,MALE
241,Gentoo Penguin,Biscoe,MALE
242,Gentoo Penguin,Biscoe,FEMALE
243,Gentoo Penguin,Biscoe,FEMALE
244,Gentoo Penguin,Biscoe,MALE
245,Gentoo Penguin,Biscoe,FEMALE
246,Gentoo Penguin,Biscoe,MALE
247,Gentoo Penguin,Biscoe,
248,Gentoo Penguin,Biscoe,MALE
249,Gentoo Penguin,Biscoe,FEMALE
250,Gentoo Penguin,Biscoe,MALE
251,Gentoo Penguin,Biscoe,MALE
252,Gentoo Penguin,Biscoe,FEMALE
253,Gentoo Penguin,Biscoe,FEMALE
254,Gentoo Penguin,Biscoe,MALE
255,Gentoo Penguin,Biscoe,FEMALE
256,Gentoo Penguin,Biscoe,MALE
257,Gentoo Penguin,Biscoe,FEMALE
258,Gentoo Penguin,Biscoe,MALE
259,Gentoo Penguin,Biscoe,FEMALE
260,Gentoo Penguin,Biscoe,MALE
261,Gentoo Penguin,Biscoe,FEMALE
262,Gentoo Penguin,Biscoe,MALE
263,Gentoo Penguin,Biscoe,FEMALE
264,Gentoo Penguin,Biscoe,MALE
265,Gentoo Penguin,Biscoe,MALE
266,Gentoo Penguin,Biscoe,FEMALE
267,Gentoo Penguin,Biscoe,FEMALE
268,Gentoo Penguin,Biscoe,MALE
269,Gentoo Penguin,Biscoe,FEMALE
270,Gentoo Penguin,Biscoe,MALE
271,Gentoo Penguin,Biscoe,FEMALE
272,Gentoo Penguin,Biscoe,MALE
273,Gentoo Penguin,Biscoe,FEMALE
274,Gentoo Penguin,Biscoe,MALE
275,Gentoo Penguin,Biscoe,FEMALE
276,Gentoo Penguin,Biscoe,MALE
277,Gentoo Penguin,Biscoe,FEMALE
278,Gentoo Penguin,Biscoe,MALE
279,Gentoo Penguin,Biscoe,FEMALE
280,Gentoo Penguin,Biscoe,MALE
281,Gentoo Penguin,Biscoe,FEMALE
282,Gentoo Penguin,Biscoe,MALE
283,Gentoo Penguin,Biscoe,FEMALE
284,Gentoo Penguin,Biscoe,MALE
285,Gentoo Penguin,Biscoe,FEMALE
286,Gentoo Penguin,Biscoe,MALE
287,Gentoo Penguin,Biscoe,
288,Gentoo Penguin,Biscoe,MALE
289,Gentoo Penguin,Biscoe,FEMALE
290,Gentoo Penguin,Biscoe,MALE
291,Gentoo Penguin,Biscoe,FEMALE
292,Gentoo Penguin,Biscoe,MALE
293,Gentoo Penguin,Biscoe,MALE
294,Gentoo Penguin,Biscoe,FEMALE
295,Gentoo Penguin,Biscoe,FEMALE
296,Gentoo Penguin,Biscoe,MALE
297,Gentoo Penguin,Biscoe,FEMALE
298,Gentoo Penguin,Biscoe,MALE
299,Gentoo Penguin,Biscoe,FEMALE
300,Gentoo Penguin,Biscoe,MALE
301,Gentoo Penguin,Biscoe,FEMALE
302,Gentoo Penguin,Biscoe,MALE
303,Gentoo Penguin,Biscoe,FEMALE
304,Gentoo Penguin,Biscoe,MALE
305,Gentoo Penguin,Biscoe,FEMALE
306,Gentoo Penguin,Biscoe,MALE
307,Gentoo Penguin,Biscoe,FEMALE
308,Gentoo Penguin,Biscoe,MALE
309,Gentoo Penguin,Biscoe,FEMALE
310,Gentoo Penguin,Biscoe,MALE
311,Gentoo Penguin,Biscoe,FEMALE
312,Gentoo Penguin,Biscoe,MALE
313,Gentoo Penguin,Biscoe,FEMALE
314,Gentoo Penguin,Biscoe,MALE
315,Gentoo Penguin,Biscoe,FEMALE
316,Gentoo Penguin,Biscoe,MALE
317,Gentoo Penguin,Biscoe,MALE
318,Gentoo Penguin,Biscoe,FEMALE
319,Gentoo Penguin,Biscoe,FEMALE
320,Gentoo Penguin,Biscoe,MALE
321,Gentoo Penguin,Biscoe,FEMALE
322,Gentoo Penguin,Biscoe,MALE
323,Gentoo Penguin,Biscoe,FEMALE
324,Gentoo Penguin,Biscoe,MALE
