ID,Species,Island,Sex
1,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
2,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
3,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
4,Adelie Penguin (Pygoscelis adeliae),Torgersen,
5,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
7,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
9,Adelie Penguin (Pygoscelis adeliae),Torgersen,
10,Adelie Penguin (Pygoscelis adeliae),Torgersen,
11,Adelie Penguin (Pygoscelis adeliae),Torgersen,
12,Adelie Penguin (Pygoscelis adeliae),Torgersen,
13,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
14,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
15,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
16,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
17,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
18,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
19,Adelie Penguin (Pygoscelis adeliae),Torgersen,FEMALE
20,Adelie Penguin (Pygoscelis adeliae),Torgersen,MALE
21,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
22,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
23,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
24,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
25,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
26,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
27,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
28,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
29,Adelie Penguin (Pygoscelis adeliae),Biscoe,FEMALE
30,Adelie Penguin (Pygoscelis adeliae),Biscoe,MALE
31,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
32,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
33,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
34,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
35,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
36,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
37,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
38,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
39,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
40,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
41,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
42,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
43,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
44,Adelie Penguin (Pygoscelis adeliae),Dream,MALE
45,Adelie Penguin (Pygoscelis adeliae),Dream,FEMALE
